budget,popularity,revenue,runtime,title,avg_rating,ratings,Action,Adventure,Animation,Comedy,Crime,Documentary,Drama,Family,Fantasy,Foreign,History,Horror,Music,Mystery,Romance,Science Fiction,TV Movie,Thriller,War,Western,release_year,director,actor_1,actor_2,actor_3,success,director_success_rate,actor_1_success_rate,actor_2_success_rate,actor_3_success_rate
200000000,51.872839,219851172,114.0,Green Lantern,5.1,2487,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2011,Martin Campbell,Ryan Reynolds,Blake Lively,Peter Sarsgaard,0,0.7142857142857143,0.7777777777777778,0.0,0.6666666666666666
200000000,59.995418,1066969703,103.0,Toy Story 3,7.6,4597,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2010,Lee Unkrich,Tom Hanks,Tim Allen,Ned Beatty,1,1.0,0.9130434782608695,1.0,1.0
200000000,71.862892,371353001,115.0,Terminator Salvation,5.9,2463,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2009,McG,Christian Bale,Sam Worthington,Anton Yelchin,1,0.8333333333333334,0.6875,0.5,1.0
190000000,102.322217,1506249360,137.0,Furious 7,7.3,4176,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2015,James Wan,Vin Diesel,Paul Walker,Dwayne Johnson,1,0.8333333333333334,0.6363636363636364,1.0,1.0
200000000,81.834855,531865000,116.0,World War Z,6.7,5560,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,2013,Marc Forster,Brad Pitt,Mireille Enos,Abigail Hargrove,1,0.8571428571428571,0.875,1.0,1.0
250000000,118.078691,747862775,131.0,X-Men: Days of Future Past,7.5,6032,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2014,Bryan Singer,Hugh Jackman,James McAvoy,Michael Fassbender,1,0.75,0.8,0.8333333333333334,0.6666666666666666
190000000,78.291018,467365246,132.0,Star Trek Into Darkness,7.4,4418,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,J.J. Abrams,Chris Pine,Zachary Quinto,Zoe Saldana,1,1.0,0.6666666666666666,1.0,1.0
195000000,43.349855,197687603,114.0,Jack the Giant Slayer,5.5,2598,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,2013,Bryan Singer,Nicholas Hoult,Eleanor Tomlinson,Ewan McGregor,0,0.75,0.5,0.0,0.0
105000000,61.196071,351040419,143.0,The Great Gatsby,7.3,3769,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2013,Baz Luhrmann,Leonardo DiCaprio,Tobey Maguire,Carey Mulligan,1,0.75,0.9333333333333333,1.0,1.0
150000000,62.169881,335154643,116.0,Prince of Persia: The Sands of Time,6.2,2317,1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2010,Mike Newell,Jake Gyllenhaal,Gemma Arterton,Ben Kingsley,1,0.6,0.6666666666666666,1.0,0.75
180000000,56.523205,407602906,131.0,Pacific Rim,6.7,4794,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2013,Guillermo del Toro,Idris Elba,Charlie Hunnam,Charlie Day,1,1.0,0.6666666666666666,1.0,0.75
